 days  miles  receipts  expected  predicted    error  abs_error
  3.0  665.0   2418.16   1490.96      683.0  -807.96     807.96
  4.0  448.0   2055.97   1497.46      689.6  -807.86     807.86
  4.0  422.0   2049.71   1491.90      684.4  -807.50     807.50
  4.0  180.0   2365.46   1443.02      636.0  -807.02     807.02
 12.0  601.0   2166.56   1918.46     1120.2  -798.26     798.26
  3.0  555.0   2342.76   1458.63      661.0  -797.63     797.63
  4.0   87.0   2463.92   1413.52      617.4  -796.12     796.12
  2.0  267.0   2116.93   1349.04      553.4  -795.64     795.64
  3.0  981.0   2008.83   1539.47      746.2  -793.27     793.27
  1.0  989.0   2196.84   1439.17      647.8  -791.37     791.37
  3.0  864.0   2338.52   1513.04      722.8  -790.24     790.24
 10.0 1009.0   2164.22   1889.87     1100.0  -789.87     789.87
 11.0  667.0   2221.67   1872.89     1083.4  -789.49     789.49
  1.0  673.0   2026.16   1372.83      584.6  -788.23     788.23
 13.0  710.0   2223.86   1979.83     1192.0  -787.83     787.83
 11.0  685.0   2272.75   1873.94     1087.0  -786.94     786.94
  5.0  132.0   2387.03   1454.05      676.4  -777.65     777.65
  3.0  429.0   2400.13   1411.95      635.8  -776.15     776.15
  4.0   84.0   2243.12   1392.10      616.8  -775.30     775.30
  1.0 1112.0   2011.44   1423.85      650.0  -773.85     773.85
  8.0  867.0   2373.39   1747.22      973.4  -773.82     773.82
  8.0  916.0   2417.62   1755.05      983.2  -771.85     771.85
  1.0 1068.0   2011.28   1421.45      650.0  -771.45     771.45
 14.0  595.0   2140.61   1989.13     1219.0  -770.13     770.13
  3.0  139.0   2428.89   1345.66      577.8  -767.86     767.86
  4.0 1124.0   2177.18   1567.43      800.0  -767.43     767.43
  9.0 1064.0   2016.76   1810.94     1050.0  -760.94     760.94
  1.0  822.0   2170.53   1374.91      614.4  -760.51     760.51
 11.0  815.0   2385.60   1872.44     1113.0  -759.44     759.44
  2.0  897.0   2382.39   1437.95      679.4  -758.55     758.55
  5.0   36.0   2022.94   1410.58      657.2  -753.38     753.38
  8.0 1159.0   2175.27   1752.18     1000.0  -752.18     752.18
  2.0  456.0   2390.70   1342.39      591.2  -751.19     751.19
  7.0  287.0   2293.50   1558.09      807.4  -750.69     750.69
  7.0  256.0   2180.53   1548.87      801.2  -747.67     747.67
 13.0 1055.0   2005.84   1997.52     1250.0  -747.52     747.52
